"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100nf";;;
2;"C5,C8,C9,C10,C12,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"10u";;;
3;"C6,C7,C11,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"100n";;;
4;"D1,D3";"SOT-323_SC-70";2;"BAT54W";;;
5;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"CN1";;;
6;"J2";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"BatInput";;;
7;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Prog";;;
8;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"CONN-1";;;
9;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"CONN-2";;;
10;"JP1,JP2,JP3,JP4";"TestPoint_Bridge_Pitch2.54mm_Drill1.0mm";4;"TP";;;
11;"Q1,Q4,Q7";"SOT-723";3;"RZM001P02T2L";;;
12;"Q2,Q5,Q6";"SOT-723";3;"RUM001L02T2CL";;;
13;"R1,R3,R4,R5,R8,R11,R14,R16,R17,R18,R19,R21";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";12;"10K";;;
14;"R2,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100";;;
15;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100K";;;
16;"R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"124K";;;
17;"R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K";;;
18;"R20";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"49.9K";;;
19;"SW1,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW";;;
20;"U1";"SOT-23";1;"TPS3839DBZ";;;
21;"U2";"SOT-23-6";1;"TPL5111";;;
22;"U3";"SOT-223-6";1;"TPS73733DCQ";;;
23;"U4";"ESP-12E";1;"ESP-12E";;;
